assembly_accession	biosample	organism	rule_id	field	value	condition	evidence	status	detail
GCA_008012155.1	SAMN10026500	Mycobacterium sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015085.1	SAMN10026479	Tolumonas sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015135.1	SAMN10026478	Thiothrix sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015145.1	SAMN10026477	Thiothrix sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015155.1	SAMN10026476	Thiothrix sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015195.1	SAMN10026475	Thiobacillus sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015215.1	SAMN10026474	Thermomonas sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015235.1	SAMN10026471	Rhodoferax sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015245.1	SAMN10026470	Rhizobium sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015255.1	SAMN10026473	Thauera aminoaromatica	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015265.1	SAMN10026472	Romboutsia sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015315.1	SAMN10026469	Rhizobium sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015325.1	SAMN10026468	Rheinheimera sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015345.1	SAMN10026467	Pseudoxanthomonas sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015355.1	SAMN10026466	Pseudorhodobacter sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015435.1	SAMN10026462	Aquipseudomonas alcaligenes	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015455.1	SAMN10026461	Polynucleobacter sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015465.1	SAMN10026460	Roseateles sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015505.1	SAMN10026459	Pedobacter sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015535.1	SAMN10026458	Ottowia sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015545.1	SAMN10026456	Novosphingobium sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015555.1	SAMN10026457	Ottowia sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015565.1	SAMN10026455	Nitrosomonas sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015595.1	SAMN10026454	Nitrosomonas sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015635.1	SAMN10026453	Nitrosomonas oligotropha	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015645.1	SAMN10026452	Nitrosomonas sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015665.1	SAMN10026450	Mycobacterium sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015675.1	SAMN10026451	Niabella sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015685.1	SAMN10026449	Mycobacterium sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015735.1	SAMN10026448	Mycolicibacterium mageritense	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015745.1	SAMN10026447	Mycolicibacter arupensis	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015755.1	SAMN10026445	Methylophilus sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015785.1	SAMN10026444	Methylophilus methylotrophus	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015835.1	SAMN10026443	Lysobacter sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015865.1	SAMN10026439	Flavobacterium sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015875.1	SAMN10026441	Limnohabitans sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015885.1	SAMN10026442	Limnohabitans sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008015935.1	SAMN10026438	Flavobacterium sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008016955.1	SAMN10026436	Dokdonella sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008016975.1	SAMN10026435	Dechloromonas sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008016995.1	SAMN10026433	Cupriavidus sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008017075.1	SAMN10026429	Chryseobacterium sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008017125.1	SAMN10026428	Chryseobacterium cucumeris	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008017175.1	SAMN10026424	Aquabacterium sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008017205.1	SAMN10026423	Aquabacterium sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008017235.1	SAMN10026422	Alicycliphilus sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008017245.1	SAMN10026421	Afipia sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008017265.1	SAMN10026420	Aeromicrobium sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008041835.1	SAMN12567460	Ectopseudomonas mendocina	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008083195.1	SAMN07346878	Sulfurospirillum multivorans	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=activated sludge	existing_different	existing_different
GCA_008086115.1	SAMN12570090	Maritimibacter fusiformis	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008086855.1	SAMN11936726	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_008086865.1	SAMN11936759	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_008107585.1	SAMN12601112	Acetobacterium wieringae	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=freshwater	existing_different	existing_different
GCA_008121555.1	SAMN12496205	Comamonas sp. Z1	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_008121555.1	SAMN12496205	Comamonas sp. Z1	SC1-ENV-LOCAL-ACTIVATED-SLUDGE	Environment_Medium_SD	activated sludge	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_008121565.1	SAMN12496206	Comamonas sp. Z3	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_008121565.1	SAMN12496206	Comamonas sp. Z3	SC1-ENV-LOCAL-ACTIVATED-SLUDGE	Environment_Medium_SD	activated sludge	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_008180305.1	SAMN12630603	Acinetobacter johnsonii	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_008221565.1	SAMN12547584	Salmonella enterica	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008221905.1	SAMN12548007	Salmonella enterica	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008271365.1	SAMN12640234	Microbacterium sp. 1S1	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008271925.1	SAMN10985379	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008271935.1	SAMN10985381	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008271945.1	SAMN10985380	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008271955.1	SAMN10985377	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008271965.1	SAMN10985378	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272025.1	SAMN10985375	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272045.1	SAMN10985374	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272055.1	SAMN10985376	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272075.1	SAMN10985373	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272085.1	SAMN10985372	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272125.1	SAMN10985371	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272135.1	SAMN10985370	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272145.1	SAMN10985369	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272175.1	SAMN10985368	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272185.1	SAMN10985367	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272225.1	SAMN10985365	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272235.1	SAMN10985366	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272245.1	SAMN10985363	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272275.1	SAMN10985364	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272285.1	SAMN10985362	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272325.1	SAMN10985361	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272335.1	SAMN10985360	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272345.1	SAMN10985359	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272355.1	SAMN10985402	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272385.1	SAMN10985403	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272425.1	SAMN10985401	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272435.1	SAMN10985400	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272445.1	SAMN10985399	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272455.1	SAMN10985398	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272505.1	SAMN10985397	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272515.1	SAMN10985396	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272525.1	SAMN10985394	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272555.1	SAMN10985395	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272575.1	SAMN10985393	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272595.1	SAMN10985392	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272605.1	SAMN10985391	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272645.1	SAMN10985390	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272655.1	SAMN10985389	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272675.1	SAMN10985388	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272685.1	SAMN10985386	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272705.1	SAMN10985387	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272715.1	SAMN10985385	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272775.1	SAMN10985382	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272795.1	SAMN10985384	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008272825.1	SAMN10985383	Escherichia coli	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008298385.1	SAMN12684764	Salmonella enterica subsp. enterica serovar Muenchen	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_008299145.1	SAMN12684756	Salmonella enterica subsp. enterica serovar Uganda	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_008363065.1	SAMN10275057	bacterium	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008363075.1	SAMN10275043	Candidatus Uhrbacteria bacterium	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008363095.1	SAMN10275056	bacterium	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008363105.1	SAMN10275042	Pseudomonadota bacterium	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008363155.1	SAMN10275040	Planctomycetota bacterium	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008363175.1	SAMN10275041	Pseudomonadota bacterium	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008363195.1	SAMN10275039	Candidatus Zhuqueibacterota bacterium	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008363215.1	SAMN10275038	Cyanobacteria bacterium CYA	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008363245.1	SAMN10275037	Chlorobiota bacterium	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008363265.1	SAMN10275036	Chlorobiota bacterium	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008363275.1	SAMN10275035	Chlorobiota bacterium	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008363285.1	SAMN10275034	Chloroflexota bacterium	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008363295.1	SAMN10275033	Actinomycetota bacterium	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008363305.1	SAMN10275031	Armatimonadota bacterium	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008363365.1	SAMN10275030	Armatimonadota bacterium	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008363375.1	SAMN10275017	Acidobacteriota bacterium	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008363385.1	SAMN10275016	Acidobacteriota bacterium	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008363395.1	SAMN10275000	Candidatus Brocadia sp. AMX2	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008363445.1	SAMN10274999	Candidatus Jettenia sp. AMX1	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_008364685.1	SAMN12660161	Xanthobacter oligotrophicus	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_008369445.1	SAMN12358471	Aureimonas fodinaquatilis	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_008370855.1	SAMN12671271	Glutamicibacter sp. ZJUTW	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=activated sludge	existing_different	existing_different
GCA_008464005.1	SAMN03339970	Salmonella enterica subsp. enterica serovar Derby	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_008464785.1	SAMN08978106	Salmonella enterica subsp. enterica serovar Infantis	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_008464795.1	SAMN10840525	Salmonella enterica subsp. enterica serovar Derby	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_008464865.1	SAMN10840486	Salmonella enterica subsp. enterica serovar Anatum	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_008510035.1	SAMN10840530	Salmonella enterica subsp. enterica serovar Derby	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_008510095.1	SAMN10840533	Salmonella enterica subsp. enterica serovar Anatum	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_008510715.1	SAMN08978108	Salmonella enterica subsp. enterica serovar Muenchen	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_008511135.1	SAMN10840524	Salmonella enterica subsp. enterica serovar Anatum	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_008537255.1	SAMN08978099	Salmonella enterica subsp. enterica serovar Infantis	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_008541055.1	SAMN08978094	Salmonella enterica subsp. enterica serovar Infantis	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_008632855.1	SAMN12722861	Thermoanaerobacterium thermosaccharolyticum	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_008635265.1	SAMN11289353	Candidatus Mesolinea sp.	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
