synonym,source_column,original_value,normalized_value,destination,category,proposed_value,broad_value,ontology_id,method,confidence,status,note
water-ds5-3,,water-ds5-3,water ds5 3,Environment_Medium_SD,environmental water,environmental water,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; water pattern; targeted suspicious fallback refinement 2026-04-30
Food products,,Food products,food products,Isolation_Source_SD,food/food product,food/food product,food/source material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=657; food/source pattern
heavy metal leachate-contaminated soil,,heavy metal leachate-contaminated soil,heavy metal leachate contaminated soil,Environment_Medium_SD,soil,soil,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; soil/agricultural material
Riparian forest soil near a stream,,Riparian forest soil near a stream,riparian forest soil near a stream,Environment_Medium_SD,soil,soil,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; soil/agricultural material
"compost was generated exclusively from plant-based material, recycled equine manure in composters enriched with California worms (Eisenia foetida).",,"compost was generated exclusively from plant-based material, recycled equine manure in composters enriched with California worms (Eisenia foetida).",compost was generated exclusively from plant based material recycled equine manure in composters enriched with california worms eisenia foetida,Environment_Medium_SD,compost,compost,,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; soil/agricultural material
Wastewater from the tannery treatment plant,,Wastewater from the tannery treatment plant,wastewater from the tannery treatment plant,Environment_Medium_SD,wastewater,wastewater,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; wastewater pattern
Potato rhizosphere soil,,Potato rhizosphere soil,potato rhizosphere soil,Environment_Medium_SD,soil,soil,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; soil/agricultural material
University of Rhode Island Bay Campus Sea Water,,University of Rhode Island Bay Campus Sea Water,university of rhode island bay campus sea water,Environment_Medium_SD,seawater,seawater,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; water pattern
Potato puree,,Potato puree,potato puree,Isolation_Source_SD,plant/produce food product,plant/produce food product,food/source material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; food/source pattern
fresh milk,,fresh milk,fresh milk,Isolation_Source_SD,milk,milk,food/source material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; food/source pattern
Meat loaf,,Meat loaf,meat loaf,Isolation_Source_SD,meat product,meat product,food/source material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; food/source pattern
Cadmium-contaminated soil,,Cadmium-contaminated soil,cadmium contaminated soil,Environment_Medium_SD,soil,soil,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; soil/agricultural material
RTE dish (cold),,RTE dish (cold),rte dish cold,Isolation_Source_SD,food/food product,food/food product,food/source material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; food/source pattern
wheat root soil,,wheat root soil,wheat root soil,Environment_Medium_SD,soil,soil,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; soil/agricultural material
soil from salt lake,,soil from salt lake,soil from salt lake,Environment_Medium_SD,soil,soil,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; soil/agricultural material
condensed milk,,condensed milk,condensed milk,Isolation_Source_SD,milk,milk,food/source material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; food/source pattern
Soybean rhizosphere soil,,Soybean rhizosphere soil,soybean rhizosphere soil,Environment_Medium_SD,soil,soil,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; soil/agricultural material
jute-retting water,,jute-retting water,jute retting water,Environment_Medium_SD,retting water,retting water,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; water pattern; targeted suspicious fallback refinement 2 2026-04-30
soil core,,soil core,soil core,Environment_Medium_SD,soil,soil,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; soil/agricultural material
Industrial Effluent,,Industrial Effluent,industrial effluent,Environment_Medium_SD,wastewater,wastewater,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; wastewater pattern
Traditional fermented food in Korea,,Traditional fermented food in Korea,traditional fermented food in korea,Isolation_Source_SD,food/food product,food/food product,food/source material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; food/source pattern
shrimp culture ponds,,shrimp culture ponds,shrimp culture ponds,Isolation_Source_SD,seafood/aquatic food product,seafood/aquatic food product,food/source material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; food/source pattern
water from cave,,water from cave,water from cave,Environment_Medium_SD,cave/cryoconite water,cave/cryoconite water,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; water pattern; targeted suspicious fallback refinement 2026-04-30
archived UK soil,,archived UK soil,archived uk soil,Environment_Medium_SD,soil,soil,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; soil/agricultural material
Galchi-Kimchi,,Galchi-Kimchi,galchi kimchi,Isolation_Source_SD,plant/produce food product,plant/produce food product,food/source material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; food/source pattern
PHA nurdle at the sediment-water interface,,PHA nurdle at the sediment-water interface,pha nurdle at the sediment water interface,Environment_Medium_SD,sediment,sediment,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; sediment pattern
Geothermal soil,,Geothermal soil,geothermal soil,Environment_Medium_SD,soil,soil,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; soil/agricultural material
hydraulic fracturing flowback water,,hydraulic fracturing flowback water,hydraulic fracturing flowback water,Environment_Medium_SD,geologic/produced water,geologic/produced water,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; water pattern; targeted suspicious fallback refinement 2026-04-30
human stool sample,,human stool sample,human stool sample,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=4; fecal/stool material
soil vegetation layer,,soil vegetation layer,soil vegetation layer,Environment_Medium_SD,soil,soil,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; soil/agricultural material
oil contaminated seawater from sample DHOS OV011,,oil contaminated seawater from sample DHOS OV011,oil contaminated seawater from sample dhos ov011,Environment_Medium_SD,seawater,seawater,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; water pattern
feces sample,,feces sample,feces sample,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Sample Type; rows=7; fecal/stool material
infant fecal,,infant fecal,infant fecal,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; fecal/stool material
Frozen Shrimp,,Frozen Shrimp,frozen shrimp,Isolation_Source_SD,seafood/aquatic food product,seafood/aquatic food product,food/source material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=7; food/source pattern
Piglet feces,,Piglet feces,piglet feces,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=5; fecal/stool material
feces from an infant,,feces from an infant,feces from an infant,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; fecal/stool material
Feces of healthy 3-month-old male infants,,Feces of healthy 3-month-old male infants,feces of healthy 3 month old male infants,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; fecal/stool material
maternal vaginal swab fluid of a 29 year-old woman on Bifidus selective media agar,,maternal vaginal swab fluid of a 29 year-old woman on Bifidus selective media agar,maternal vaginal swab fluid of a 29 year old woman on bifidus selective media agar,Sample_Type_SD,vaginal swab,vaginal swab,clinical/host-associated material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; swab pattern
marine biofilm enrichment culture containing L-Alanine as the sole carbon source.,,marine biofilm enrichment culture containing L-Alanine as the sole carbon source.,marine biofilm enrichment culture containing l alanine as the sole carbon source,Sample_Type_SD,enrichment culture,enrichment culture,metadata descriptor / non-source,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; culture pattern
"5 liters of water from the Tucurui Power Plant Reservoir, point M5 collected 50cm beneath the lake surface, then filtered by negative pressure for posterior culture in BG-11 medium",,"5 liters of water from the Tucurui Power Plant Reservoir, point M5 collected 50cm beneath the lake surface, then filtered by negative pressure for posterior culture in BG-11 medium",5 liters of water from the tucurui power plant reservoir point m5 collected 50cm beneath the lake surface then filtered by negative pressure for posterior culture in bg 11 medium,Environment_Medium_SD,lake water,lake water,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; water pattern; refined generic water mapping 2026-04-30
Pork chops,,Pork chops,pork chops,Isolation_Source_SD,pork/meat product,pork/meat product,food/source material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=7; food/source pattern
Avena fatua rhizosphere soil middle density fraction time point 9 weeks,,Avena fatua rhizosphere soil middle density fraction time point 9 weeks,avena fatua rhizosphere soil middle density fraction time point 9 weeks,Environment_Medium_SD,soil,soil,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; soil/agricultural material
contaminated processed milk,,contaminated processed milk,contaminated processed milk,Isolation_Source_SD,milk,milk,food/source material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; food/source pattern
Industrial wastewater,,Industrial wastewater,industrial wastewater,Environment_Medium_SD,wastewater,wastewater,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; wastewater pattern
Austrian hard cheese rind,,Austrian hard cheese rind,austrian hard cheese rind,Isolation_Source_SD,dairy food,dairy food,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; food/source pattern
"soil in an open quarry for the mining of brown coal, heated by underground coal combustion",,"soil in an open quarry for the mining of brown coal, heated by underground coal combustion",soil in an open quarry for the mining of brown coal heated by underground coal combustion,Environment_Medium_SD,soil,soil,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; soil/agricultural material
Aerosol sample,,Aerosol sample,aerosol sample,Environment_Medium_SD,air,air,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; air pattern
mining soil,,mining soil,mining soil,Environment_Medium_SD,soil,soil,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=8; soil/agricultural material
ISS WPA waste water,,ISS WPA waste water,iss wpa waste water,Environment_Medium_SD,wastewater,wastewater,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; wastewater pattern
blood from Melioidosis patient,,blood from Melioidosis patient,blood from melioidosis patient,Isolation_Site_SD,blood,blood,clinical/host-associated material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; blood material/site
sediment sample from Evening Primrose shelf,,sediment sample from Evening Primrose shelf,sediment sample from evening primrose shelf,Environment_Medium_SD,sediment,sediment,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; sediment pattern
geothermally heated soil,,geothermally heated soil,geothermally heated soil,Environment_Medium_SD,soil,soil,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; soil/agricultural material
unialgal culture in lake water,,unialgal culture in lake water,unialgal culture in lake water,Environment_Medium_SD,lake water,lake water,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; water pattern
enrichment culture grown in lab-scale EBPR SBR; organism purified/enriched using density-based techniques,,enrichment culture grown in lab-scale EBPR SBR; organism purified/enriched using density-based techniques,enrichment culture grown in lab scale ebpr sbr organism purified enriched using density based techniques,Sample_Type_SD,enrichment culture,enrichment culture,metadata descriptor / non-source,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; culture pattern
marine sediment 0-2 cm,,marine sediment 0-2 cm,marine sediment 0 2 cm,Environment_Medium_SD,marine sediment,marine sediment,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; sediment pattern
"freshwater lake, 5 m depth",,"freshwater lake, 5 m depth",freshwater lake 5 m depth,Environment_Medium_SD,freshwater,freshwater,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; water pattern
hot spring filament,,hot spring filament,hot spring filament,Environment_Medium_SD,hot spring water,hot spring water,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; water pattern
surface water and sediment from copper mine drainage,,surface water and sediment from copper mine drainage,surface water and sediment from copper mine drainage,Environment_Medium_SD,sediment,sediment,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; sediment pattern
Clonal Enrichment Culture,,Clonal Enrichment Culture,clonal enrichment culture,Sample_Type_SD,enrichment culture,enrichment culture,metadata descriptor / non-source,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; culture pattern
enrichment reactor seeded with activated sludge,,enrichment reactor seeded with activated sludge,enrichment reactor seeded with activated sludge,Environment_Medium_SD,sewage,sewage,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; wastewater pattern
bovine rumen in xylose fermenting enrichment culture,,bovine rumen in xylose fermenting enrichment culture,bovine rumen in xylose fermenting enrichment culture,Sample_Type_SD,enrichment culture,enrichment culture,metadata descriptor / non-source,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; culture pattern
partial-nitritation anammox (PNA) reactor; pilot scale (60m3) reactor for the removal of ammonium from the effluent from a primary clarifier of a full-scale WWTP.,,partial-nitritation anammox (PNA) reactor; pilot scale (60m3) reactor for the removal of ammonium from the effluent from a primary clarifier of a full-scale WWTP.,partial nitritation anammox pna reactor pilot scale 60m3 reactor for the removal of ammonium from the effluent from a primary clarifier of a full scale wwtp,Environment_Medium_SD,wastewater,wastewater,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; wastewater pattern
seawater and sediment from deep-sea hydrothermal vent field,,seawater and sediment from deep-sea hydrothermal vent field,seawater and sediment from deep sea hydrothermal vent field,Environment_Medium_SD,sediment,sediment,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; sediment pattern
"chlorinated drinking water, site 6",,"chlorinated drinking water, site 6",chlorinated drinking water site 6,Environment_Medium_SD,drinking/distribution water,drinking/distribution water,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; water pattern; refined generic water mapping 2026-04-30
Rifle background sediment; well D04 at 19ft depth,,Rifle background sediment; well D04 at 19ft depth,rifle background sediment well d04 at 19ft depth,Environment_Medium_SD,sediment,sediment,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; sediment pattern
ancient permafrost soil,,ancient permafrost soil,ancient permafrost soil,Environment_Medium_SD,soil,soil,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; soil/agricultural material
sediment from terrestrial hot spring,,sediment from terrestrial hot spring,sediment from terrestrial hot spring,Environment_Medium_SD,sediment,sediment,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; sediment pattern
rhizosphere soil of wheat,,rhizosphere soil of wheat,rhizosphere soil of wheat,Environment_Medium_SD,soil,soil,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=5; soil/agricultural material
"Soil sample from Angelo meadow plot 1, 20cm depth, 6 days after first rain event (27mm)",,"Soil sample from Angelo meadow plot 1, 20cm depth, 6 days after first rain event (27mm)",soil sample from angelo meadow plot 1 20cm depth 6 days after first rain event 27mm,Environment_Medium_SD,soil,soil,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; soil/agricultural material
water-ds2-2,,water-ds2-2,water ds2 2,Environment_Medium_SD,environmental water,environmental water,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; water pattern; targeted suspicious fallback refinement 2026-04-30
marine biofilm enrichment culture containing L-Mannose as the sole carbon source.,,marine biofilm enrichment culture containing L-Mannose as the sole carbon source.,marine biofilm enrichment culture containing l mannose as the sole carbon source,Sample_Type_SD,enrichment culture,enrichment culture,metadata descriptor / non-source,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=4; culture pattern
sulfate amended sediment enrichment culture,,sulfate amended sediment enrichment culture,sulfate amended sediment enrichment culture,Sample_Type_SD,enrichment culture,enrichment culture,metadata descriptor / non-source,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; culture pattern
carbon dioxide amended sediment enrichment culture,,carbon dioxide amended sediment enrichment culture,carbon dioxide amended sediment enrichment culture,Sample_Type_SD,enrichment culture,enrichment culture,metadata descriptor / non-source,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; culture pattern
effluent treatment plant,,effluent treatment plant,effluent treatment plant,Environment_Medium_SD,wastewater,wastewater,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; wastewater pattern
intertidal mangrove sediment,,intertidal mangrove sediment,intertidal mangrove sediment,Environment_Medium_SD,sediment,sediment,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; sediment pattern
municipal sewage,,municipal sewage,municipal sewage,Environment_Medium_SD,sewage,sewage,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; wastewater pattern
Macrognathotermes sunteri termitarium soil,,Macrognathotermes sunteri termitarium soil,macrognathotermes sunteri termitarium soil,Environment_Medium_SD,soil,soil,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=4; soil/agricultural material
sand filter of a drinking water treatment system,,sand filter of a drinking water treatment system,sand filter of a drinking water treatment system,Environment_Medium_SD,drinking/distribution water,drinking/distribution water,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; water pattern; refined generic water mapping 2026-04-30
non-axenic culture deposited to culture collection,,non-axenic culture deposited to culture collection,non axenic culture deposited to culture collection,Sample_Type_SD,pure/single culture,pure/single culture,metadata descriptor / non-source,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; culture pattern
native cranberry bog soil,,native cranberry bog soil,native cranberry bog soil,Environment_Medium_SD,soil,soil,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; soil/agricultural material
fish skin; co-assembled from multi-host: Acrossocheilus yunnanensis;Onychostoma simum;Ageneiogarra imberba;Hemibagrus macropterus;Acrossocheilus monticola;Siniperca knerii;Rhinogobio typus;Tachysurus crassilabris;Spinibarbus sinensis;Platysmacheilus nudiventris;Hemibarbus labeo;Carassius auratus;Sinogastromyzon sichangensis;Tachysurus vachellii;Tachysurus fulvidraco;Hemiculter leucisculus;Hemiculter tchangi;Saurogobio punctatus;Squalidus argentatus;Silurus asotus;Pseudobagrus truncatus,,fish skin; co-assembled from multi-host: Acrossocheilus yunnanensis;Onychostoma simum;Ageneiogarra imberba;Hemibagrus macropterus;Acrossocheilus monticola;Siniperca knerii;Rhinogobio typus;Tachysurus crassilabris;Spinibarbus sinensis;Platysmacheilus nudiventris;Hemibarbus labeo;Carassius auratus;Sinogastromyzon sichangensis;Tachysurus vachellii;Tachysurus fulvidraco;Hemiculter leucisculus;Hemiculter tchangi;Saurogobio punctatus;Squalidus argentatus;Silurus asotus;Pseudobagrus truncatus,fish skin co assembled from multi host acrossocheilus yunnanensis onychostoma simum ageneiogarra imberba hemibagrus macropterus acrossocheilus monticola siniperca knerii rhinogobio typus tachysurus crassilabris spinibarbus sinensis platysmacheilus nudiventris hemibarbus labeo carassius auratus sinogastromyzon sichangensis tachysurus vachellii tachysurus fulvidraco hemiculter leucisculus hemiculter tchangi saurogobio punctatus squalidus argentatus silurus asotus pseudobagrus truncatus,Isolation_Source_SD,seafood/aquatic food product,seafood/aquatic food product,food/source material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=4; food/source pattern
Canine urine,,Canine urine,canine urine,Isolation_Site_SD,urine,urine,clinical/host-associated material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=15; urine material/site
"blood, venous puncture",,"blood, venous puncture",blood venous puncture,Isolation_Site_SD,blood,blood,clinical/host-associated material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; blood material/site
"rectal swab, colony 2",,"rectal swab, colony 2",rectal swab colony 2,Sample_Type_SD,rectal/perianal swab,rectal/perianal swab,feces/gut/intestinal material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; swab pattern
"rectal swab, colony 1",,"rectal swab, colony 1",rectal swab colony 1,Sample_Type_SD,rectal/perianal swab,rectal/perianal swab,feces/gut/intestinal material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; swab pattern
Cheese after GESM assay,,Cheese after GESM assay,cheese after gesm assay,Isolation_Source_SD,dairy food,dairy food,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=11; food/source pattern
clean-catch midstream urine,,clean-catch midstream urine,clean catch midstream urine,Isolation_Site_SD,urine,urine,clinical/host-associated material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; urine material/site
Urine catheter,,Urine catheter,urine catheter,Isolation_Site_SD,urine,urine,clinical/host-associated material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=28; urine material/site
"Swab, rectal",,"Swab, rectal",swab rectal,Sample_Type_SD,rectal/perianal swab,rectal/perianal swab,feces/gut/intestinal material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=13; swab pattern
stoma swab,,stoma swab,stoma swab,Sample_Type_SD,skin/body-surface swab,skin/body-surface swab,clinical/host-associated material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=6; generic swab; targeted suspicious fallback refinement 2026-04-30
Wastewater spill in the urban area of Cordoba city,,Wastewater spill in the urban area of Cordoba city,wastewater spill in the urban area of cordoba city,Environment_Medium_SD,wastewater,wastewater,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=4; wastewater pattern
Urinary catheter specimen,,Urinary catheter specimen,urinary catheter specimen,Isolation_Site_SD,urine,urine,clinical/host-associated material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=14; urine material/site
groin swab,,groin swab,groin swab,Sample_Type_SD,skin/body-surface swab,skin/body-surface swab,clinical/host-associated material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=8; generic swab; refined generic swab mapping 2026-04-30
Urethral Swab,,Urethral Swab,urethral swab,Sample_Type_SD,swab,swab,clinical/host-associated material,,dictionary,high,needs_review,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=6; generic swab; demoted duplicate conflict 2026-04-30; preferred=urethral swab
aquatic sediment,,aquatic sediment,aquatic sediment,Environment_Medium_SD,sediment,sediment,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=5; sediment pattern
rivulet water,,rivulet water,rivulet water,Environment_Medium_SD,freshwater,freshwater,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=5; water pattern; targeted suspicious fallback refinement 2026-04-30
rectal swab isolate,,rectal swab isolate,rectal swab isolate,Sample_Type_SD,rectal/perianal swab,rectal/perianal swab,feces/gut/intestinal material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=160; swab pattern
Manure (Cattle),,Manure (Cattle),manure cattle,Environment_Medium_SD,manure,manure,,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; soil/agricultural material
"clinical, PCR+ stool swab",,"clinical, PCR+ stool swab",clinical pcr stool swab,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; fecal/stool material
air-dried beef,,air-dried beef,air dried beef,Environment_Medium_SD,air,air,environmental material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; air pattern
fish gut; co-assembled from multi-host: Barbodes semifasciolatus;Rasbora steineri;Sinibrama melrosei;Culter alburnus;Oreochromis niloticus;Pseudobagrus tenuifurcatus;Carassius auratus,,fish gut; co-assembled from multi-host: Barbodes semifasciolatus;Rasbora steineri;Sinibrama melrosei;Culter alburnus;Oreochromis niloticus;Pseudobagrus tenuifurcatus;Carassius auratus,fish gut co assembled from multi host barbodes semifasciolatus rasbora steineri sinibrama melrosei culter alburnus oreochromis niloticus pseudobagrus tenuifurcatus carassius auratus,Isolation_Source_SD,seafood/aquatic food product,seafood/aquatic food product,food/source material,,dictionary,high,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=3; food/source pattern
