assembly_accession	biosample	organism	rule_id	field	value	condition	evidence	detail	Host_SD	Host_TaxID	Host_Context_SD	Host_Health_State_SD	Host_Disease_SD	Isolation_Site_SD	Isolation_Source_SD	Sample_Type_SD
GCA_046640085.1	SAMN45032165	Klebsiella pneumoniae	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_000276565.1	SAMN02471724	Pseudomonas tolaasii PMS117	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Agaricus bisporus	5341		diseased	diseased		clinical/host-associated material	
GCA_011946185.1	SAMN11657373	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_020672545.1	SAMN20150124	Salmonella enterica subsp. enterica serovar Agona	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Sus scrofa	9823				manure		manure
GCA_022622895.1	SAMN26674861	Listeria monocytogenes	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_024136125.1	SAMN28557606	Streptococcus suis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Sus scrofa	9823		healthy	healthy/no disease reported			
GCA_028728955.1	SAMN29015944	Salmonella enterica	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Gallus gallus	9031				manure	environmental material	manure
GCA_029015285.1	SAMN33599592	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_029015345.1	SAMN33598467	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_039834055.1	SAMN30916812	Vibrio vulnificus	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Tiger grouper	327785		diseased	diseased		seafood/aquatic food product	
GCA_043280685.1	SAMN44236741	Salmonella enterica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/no disease reported; proposed=healthy	Homo sapiens	9606		healthy/no disease reported	healthy/no disease reported			
GCA_051411815.1	SAMN46424017	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure	environmental material	manure
GCA_055779345.1	SAMN56442224	Listeria monocytogenes	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_055779905.1	SAMN56441576	Listeria monocytogenes	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Aves	8782				manure		manure
GCA_055782155.1	SAMN56442685	Listeria monocytogenes	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_055819205.1	SAMN53502863	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Gallus gallus	9031				manure	environmental material	manure
GCA_057347875.1	SAMN58876554	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_057348835.1	SAMN59157876	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_057350885.1	SAMN59157882	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_057354945.1	SAMN58971082	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_057355345.1	SAMN58971095	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_057356365.1	SAMN58971119	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_018893955.1	SAMEA5849410	Clostridioides difficile	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	organ/tissue site	clinical/host-associated material	
GCA_057609565.1	SAMN50509786	Gemmiger qucibialis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_053761765.1	SAMN53316630	Enterococcus lemanii	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Sus scrofa domesticus	9825				manure	environmental material	manure
GCA_057608865.1	SAMN50509818	Barnesiella intestinihominis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_000980675.1	SAMN03456686	Eubacterium sp. UNK.MGS-25	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_056384495.1	SAMN54874806	Pasteurella multocida	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Bos taurus	9913		healthy	healthy/no disease reported	nasopharynx/oropharynx	clinical/host-associated material	nasopharynx/oropharynx
GCA_056386535.1	SAMN54874733	Pasteurella multocida	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Bos taurus	9913		healthy	healthy/no disease reported	nasopharynx/oropharynx	clinical/host-associated material	nasopharynx/oropharynx
GCA_056387075.1	SAMN54874686	Pasteurella multocida	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Bos taurus	9913		healthy	healthy/no disease reported	nasal cavity/sinus/upper respiratory tract	clinical/host-associated material	nasal swab
GCA_056387175.1	SAMN54874679	Pasteurella multocida	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Bos taurus	9913		healthy	healthy/no disease reported	nasopharynx/oropharynx	clinical/host-associated material	nasopharynx/oropharynx
GCA_056651865.1	SAMN56813512	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_056652505.1	SAMN56813348	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_057034095.1	SAMN50509684	Vescimonas coprocola	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_057421355.1	SAMN50510489	Alistipes ihumii	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_011856885.1	SAMN12860636	Escherichia coli O157:H7	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_025020785.1	SAMN30282652	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure	environmental material	manure
GCA_029403915.1	SAMD00467449	Staphylococcus aureus	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	skin/body surface	clinical/host-associated material	
GCA_049843735.1	SAMN40121521	Escherichia coli	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Sus scrofa	9823		healthy/control	healthy/no disease reported	manure	environmental material	manure
GCA_049843735.1	SAMN40121521	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Sus scrofa	9823		healthy/control	healthy/no disease reported	manure	environmental material	manure
GCA_056054015.1	SAMN23709701	Haemophilus influenzae	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	nasal cavity/sinus/upper respiratory tract	clinical/host-associated material	
GCA_057439675.1	SAMN52948614	Vibrio owensii	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	porites	46719		diseased	diseased		clinical/host-associated material	
GCA_904850895.1	SAMEA7049013	Burkholderia multivorans	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present				healthy	healthy/no disease reported		blood	
GCA_904851385.1	SAMEA7049005	Burkholderia multivorans	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present				healthy	healthy/no disease reported		blood	
GCA_056529625.1	SAMN56812999	Escherichia coli O116:H21	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_011860305.2	SAMN12822687	Escherichia coli O157:H7	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_009161065.1	SAMN06307819	Salmonella enterica subsp. enterica serovar Typhimurium	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy				healthy/control	healthy/no disease reported		environmental material	laboratory
GCA_015892785.1	SAMN16935578	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Aves	8782				manure	environmental material	manure
GCA_044470825.1	SAMN44011811	Escherichia coli	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Aves	8782		diseased	diseased		clinical/host-associated material	feces/stool
GCA_057609425.1	SAMN50509791	Eubacterium sp.	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_001915975.1	SAMN05717245	Clostridium sp. CAG:217_53_7	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	
GCA_001917235.1	SAMN05717309	Acinetobacter sp. CAG:196_36_41	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	
GCA_004533325.1	SAMN11191533	Listeria monocytogenes	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_004549765.1	SAMN11229757	Listeria monocytogenes	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_005870955.1	SAMN11787059	Salmonella enterica	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Aves	8782				manure		manure
GCA_005910385.1	SAMN11657387	Salmonella enterica	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Aves	8782				manure		manure
GCA_011467615.1	SAMN14335238	Salmonella enterica	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Gallus gallus	9031				manure		manure
GCA_030956925.1	SAMN36935830	Listeria monocytogenes	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_032180165.1	SAMN36303018	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_038385075.1	SAMN38080778	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_038393095.1	SAMN38080963	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_043267525.1	SAMN44234720	Salmonella enterica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/no disease reported; proposed=healthy	Homo sapiens	9606		healthy/no disease reported	healthy/no disease reported			
GCA_043275085.1	SAMN44236902	Salmonella enterica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/no disease reported; proposed=healthy	Homo sapiens	9606		healthy/no disease reported	healthy/no disease reported			
GCA_043276335.1	SAMN44236865	Salmonella enterica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/no disease reported; proposed=healthy	Homo sapiens	9606		healthy/no disease reported	healthy/no disease reported			
GCA_043277955.1	SAMN44236819	Salmonella enterica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/no disease reported; proposed=healthy	Homo sapiens	9606		healthy/no disease reported	healthy/no disease reported			
GCA_043856335.1	SAMN44265537	Salmonella enterica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/no disease reported; proposed=healthy	Homo sapiens	9606		healthy/no disease reported	healthy/no disease reported			
GCA_046633895.1	SAMN45032254	Klebsiella pneumoniae	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_049843915.1	SAMN40121512	Escherichia coli	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy				healthy/control	healthy/no disease reported		environmental material	
GCA_057038885.1	SAMN57544943	Listeria monocytogenes	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_057046865.1	SAMN50509341	Flavonifractor plautii	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_057377285.1	SAMN59518346	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_057377505.1	SAMN59518264	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_057377705.1	SAMN59518351	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_000330765.1	SAMN02471652	Pantoea agglomerans 299R	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Pyrus communis	23211		healthy	healthy/no disease reported	leaf tissue	clinical/host-associated material	leaves
GCA_000466805.1	SAMN02298798	Lactobacillus jensenii MD IIE-70(2)	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	
GCA_008868475.1	SAMN12856542	Limosilactobacillus fermentum	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	
GCA_011945345.1	SAMN11656396	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_013341355.1	SAMN14943541	Escherichia coli	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	rectum/perianal region	clinical/host-associated material	rectal swab
GCA_018082685.1	SAMN18758512	Listeria monocytogenes	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_021229485.1	SAMN23895745	Escherichia coli	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present				healthy	healthy/no disease reported	rectum/perianal region	clinical/host-associated material	rectal swab
GCA_024271685.1	SAMN27959353	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_024608165.1	SAMN29844798	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure	environmental material	manure
GCA_026179825.1	SAMN31538157	Salmonella enterica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Sus scrofa domesticus	9825		healthy	healthy/no disease reported	gastrointestinal tract	clinical/host-associated material	gut content
GCA_037032405.1	SAMN38909280	Fusobacterium polymorphum	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	oral cavity	clinical/host-associated material	
GCA_042158125.1	SAMN42088523	Escherichia coli O157:H7	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure	environmental material	manure
GCA_043365015.1	SAMN40642830	Clostridioides difficile	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Gallus gallus	9031		healthy	healthy/no disease reported		eces	
GCA_057033715.1	SAMN50509693	Alistipes communis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_056465325.1	SAMN56810842	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_056465845.1	SAMN56811444	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_056468685.1	SAMN56812880	Escherichia coli O157:H7	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_056469545.1	SAMN56812603	Escherichia coli O157:H7	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_056488705.1	SAMN56813065	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_018962275.1	SAMEA7030906	Clostridioides difficile	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present				healthy	healthy/no disease reported	organ/tissue site	clinical/host-associated material	
GCA_026157445.1	SAMN30260692	Streptococcus mitis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	nasopharynx/oropharynx	clinical/host-associated material	nasopharynx/oropharynx
GCA_026157575.1	SAMN30260687	Streptococcus mitis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	nasopharynx/oropharynx	clinical/host-associated material	nasopharynx/oropharynx
GCA_026157825.1	SAMN30260673	Streptococcus mitis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	nasopharynx/oropharynx	clinical/host-associated material	nasopharynx/oropharynx
GCA_023148985.1	SAMN19899776	Staphylococcus capitis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	organ/tissue site		
GCA_023149015.1	SAMN19899775	Staphylococcus epidermidis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	organ/tissue site		
GCA_028463745.1	SAMN26871937	Proteus mirabilis	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_012401045.1	SAMN12662375	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure	environmental material	manure
GCA_044470625.1	SAMN44011816	Escherichia coli	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Aves	8782		diseased	diseased		clinical/host-associated material	feces/stool
